,id,m1,m2,size,x0.25,x0.2,x0.15
106,107,0.23044397463002114,129.892177589852,"(1032, 774)",0.27736711502075195,0.3068351745605469,0.19774889945983887
107,108,0.09904912836767037,119.20443740095087,"(1032, 774)",0.8214457035064697,0.6140599250793457,0.3355419635772705
108,109,0.3112391930835735,120.27377521613833,"(774, 1032)",0.21013116836547852,0.1922152042388916,0.1613328456878662
109,110,0.175,120.8625,"(1032, 774)",0.30288076400756836,0.26970410346984863,0.16804909706115723
110,111,0.11900532859680284,116.96802841918294,"(1032, 774)",0.3382868766784668,0.38944101333618164,0.22939372062683105
111,112,0.38461538461538464,113.18832891246684,"(1032, 774)",0.2178030014038086,0.20947885513305664,0.16721200942993164
112,113,0.2585227272727273,121.92897727272727,"(774, 1032)",0.217803955078125,0.21965384483337402,0.16059112548828125
113,114,0.47058823529411764,120.69117647058823,"(1032, 774)",0.16368794441223145,0.16507577896118164,0.14287281036376953
114,115,0.3412969283276451,112.81911262798634,"(1032, 774)",0.25777602195739746,0.2314460277557373,0.17900586128234863
115,116,0.20851688693098386,113.5330396475771,"(1032, 774)",0.3368990421295166,0.2963731288909912,0.2025001049041748
116,117,0.11014492753623188,120.06086956521739,"(774, 1032)",0.5037949085235596,0.4185519218444824,0.27803802490234375
117,118,0.06620689655172414,116.26551724137931,"(1032, 774)",1.4926509857177734,1.0430068969726562,0.513422966003418
118,119,0.5809716599190283,121.72672064777328,"(1032, 774)",0.22130703926086426,0.2078561782836914,0.16651487350463867
119,120,0.059901338971106416,116.08597603946441,"(1032, 774)",1.5434629917144775,1.151353120803833,0.5145533084869385
120,121,0.38943248532289626,114.14285714285714,"(1032, 774)",0.22484111785888672,0.22165918350219727,0.16876482963562012
